"","newid","std_lname","std_f2initial","chamber","gender","state_abb","district","party_abb","SW_politician_name","congress.gov_politician_name","icpsr_politician_id","govtrack_id","fec_candidate_id","congress.gov_terms","first_yr_in_congress","last_year_in_congress","congress_num","congress_begin_yr","congress_end_yr","icpsr_com_name","icpsr_com_id","lobbyview_com_id","maj_min","rank_within_party","senior_party_member","com_seniority","com_period_of_service","notes"
"57",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,109,2005,2006,"International relations",134,17,2,3,0,12,2,NA
"58",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,110,2007,2008,"Financial services",113,41,1,8,0,5,5,NA
"59",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,110,2007,2008,"Foreign affairs",134,50,1,3,0,13,2,NA
"60",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,111,2009,2010,"Financial services",113,41,1,8,0,6,5,NA
"61",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,111,2009,2010,"Foreign affairs",134,50,1,2,0,14,2,NA
"62",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,112,2011,2012,"Financial services",113,41,2,7,0,7,5,"Did not seek reelection"
"63",5,"ackerman","ga","H","M","NY",5,"D","Ackerman, Gary L.","Representative Ackerman, Gary L.",15000,NA,NA,"House: 1983-2013",1983,2013,112,2011,2012,"Foreign affairs",134,50,2,2,0,15,2,"Did not seek reelection"
"64",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,114,2015,2016,"Agriculture",102,23,2,17,0,1,2,"Late appointment"
"65",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,114,2015,2016,"Economic (joint)",507,NA,2,3,0,1,2,NA
"66",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,114,2015,2016,"Education and the workforce",124,12,2,15,0,1,2,NA
"67",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,114,2015,2016,"Small business",184,25,7,1,0,1,2,"To Rank after Clarke"
"68",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,115,2017,2018,"Agriculture",102,23,2,14,0,2,2,NA
"69",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,115,2017,2018,"Economic (joint)",507,NA,2,3,0,2,2,NA
"70",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,115,2017,2018,"Education and the workforce",124,12,2,11,0,2,2,NA
"71",6,"adams","al","H","F","NC",12,"D","Adams, Alma","Representative Adams, Alma S.",21545,412607,"H4NC12100","House: 2014-Present",2014,2018,115,2017,2018,"Small business",184,25,5,7,0,1,2,NA
"72",7,"adams","sa","H","F","FL",24,"R","Adams, Sandy","Representative Adams, Sandy",21120,NA,NA,"House: 2011-2013",2011,2013,112,2011,2012,"Judiciary",156,10,1,21,0,1,2,"Defeated for renomination"
"73",7,"adams","sa","H","F","FL",24,"R","Adams, Sandy","Representative Adams, Sandy",21120,NA,NA,"House: 2011-2013",2011,2013,112,2011,2012,"Science, space, and technology",182,52,1,12,0,1,2,"Defeated for renomination"
"74",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,105,1997,1998,"Appropriations",104,31,1,34,0,1,2,NA
"75",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,106,1999,2000,"Appropriations",104,31,1,30,0,2,2,NA
"76",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,107,2001,2002,"Appropriations",104,31,1,26,0,3,2,NA
"77",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,108,2003,2004,"Appropriations",104,31,1,22,0,4,2,NA
"78",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,109,2005,2006,"Appropriations",104,31,1,21,0,5,2,NA
"79",8,"aderholt","ro","H","M","AL",4,"R","Aderholt, Robert","Representative Aderholt, Robert B.",29701,400004,"H6AL04098","House: 1997-Present",1997,2018,110,2007,2008,"Appropriations",104,31,2,15,0,6,2,NA
